MAIN,MAIN,703-904-4400,,
AAL,REGION,907-271-5464,,
ACE,REGION,816-329-2500,,
AEA,REGION,718-553-4502,,
AGL,REGION,847-294-7202,,
ANE,REGION,781-238-7500,,
ANM,REGION,425-227-2500,,
ASO,REGION,404-305-5500,,
ASW,REGION,817-222-5500,,
AWP,REGION,310-725-6500,,
ZAB,ARTCC,817-222-5006,0730-1600,505-856-4300
ZAN,ARTCC,907-271-5936,0730-1600,907-269-1137
ZTL,ARTCC,404-305-5180,0730-1700,770-210-7601
ZBW,ARTCC,617-238-7001,0730-1600,603-879-6633
ZAU,ARTCC,847-294-8400,0800-1600,630-906-8221
ZOB,ARTCC,847-294-8400,0800-1600,440-774-0310
ZDV,ARTCC,425-227-1389,0730-1600,303-651-4100
ZFW,ARTCC,817-222-5006,0730-1600,817-858-7300
ZHU,ARTCC,817-222-5006,0730-1600,281-230-5300
ZID,ARTCC,847-294-8400,0800-1600,317-247-2231
ZJX,ARTCC,404-305-5180,0800-1630,904-549-1501
ZKC,ARTCC,816-329-3000,0730-1600,913-254-8500
ZLA,ARTCC,661-265-8200,0730-1600,661-265-8200
ZME,ARTCC,404-305-5180,0730-1600,901-368-8103
ZMA,ARTCC,404-305-5180,0700-1530,305-716-1500
ZMP,ARTCC,847-294-8400,0800-1600,651-463-5580
ZNY,ARTCC,718-995-5426,0800-1640,631-468-1001
ZOA,ARTCC,310-725-3300,0630-1500,510-745-3331
ZLC,ARTCC,425-227-1389,0730-1600,801-320-2500
ZSE,ARTCC,425-227-1389,0730-1600,253-351-3500
ZDC,ARTCC,718-995-5426,0800-1630,703-771-3401
A11,TRACON,907-271-2701,0700-1600,907-271-2700
A80,TRACON,404-305-5180,0700-1530,404-669-1200
A90,TRACON,603-594-5553,0700-1600,603-594-5554
BOI,TRACON,208-334-1643,,
BTR,TRACON,225-354-2100,,
C90,TRACON,847-294-8400,0800-1600,847-608-5509
D01,TRACON,425-227-1389,0730-1600,303-342-1500
D10,TRACON,817-222-5006,0730-1600,972-615-2500
D21,TRACON,734-955-5004,0700-1600,734-955-5000
F11,TRACON,407-852-7541,0800-1630,407-852-7553
FSM,TRACON,479-649-2400,,
I90,TRACON,817-222-5006,0730-1600,281-230-8400
IND,TRACON,317-227-5780,,
K90,TRACON,508-563-1400,0800-1630,508-563-1425
L30,TRACON,702-262-5900,,
LIT,TRACON,501-379-2900,,
M03,TRACON,901-322-3350,,
M98,TRACON,612-713-4000,,
MCI,TRACON,816-243-2700,,
MDT,TRACON,717-948-9180,,
MGM,TRACON,334-284-0384,,
N90,TRACON,718-995-5426,0800-1630,516-683-2901
NCT,TRACON,310-725-3300,0700-1530,916-366-4001
NMM,TRACON,601-679-7111,,
OKC,TRACON,405-686-4700,,
P31,TRACON,850-266-6900,,
P50,TRACON,602-306-2500,,
P80,TRACON,503-493-7500,,
PCT,TRACON,718-995-5426,0800-1630,540-349-7500
R90,TRACON,402-291-3644,,
S46,TRACON,206-214-4600,,
S56,TRACON,801-325-9600,,
SCT,TRACON,310-725-3300,0730-1600,858-537-5800
T75,TRACON,314-890-1003,,
U90,TRACON,520-670-5087,,
Y90,TRACON,860-386-3500,,
PSC,TRACON,509-542-4204,,509-542-4209
ABQ,ATCT,817-222-5006,0800-1700,505-842-4366
ABY,ATCT,229-435-1644,,
ACK,ATCT,508-228-0831,,
ADM,ATCT,580-389-5439,,
ADQ,ATCT,907-487-4382,,
ADS,ATCT,972-628-2420,,
ADW,ATCT,718-993-5426,0800-1630,301-735-2380
AEG,ATCT,505-352-5595,,
AEX,ATCT,318-767-1473,,
AFW,ATCT,817-491-6100,,
AGC,ATCT,412-461-4388,,
AHN,ATCT,706-208-8176,,
AID,ATCT,765-378-7600,,
AKN,ATCT,907-246-3311,,
ALN,ATCT,618-259-2350,,
ALW,ATCT,509-529-9750,,
ANC,ATCT,907-271-5936,0730-1600,907-271-2700
ANE,ATCT,763-717-3045,,
APA,ATCT,720-873-2770,,
APC,ATCT,707-255-1533,,
APF,ATCT,239-643-4929,,
ARA,ATCT,337-365-0176,,
ARB,ATCT,734-769-1830,,
ARR,ATCT,630-466-5617,,
ASG,ATCT,479-750-8164,,
ASH,ATCT,603-595-2104,,
ATL,ATCT,404-305-5180,0700-1530,404-669-1200
ATW,ATCT,920-739-5982,,
BAF,ATCT,413-562-4582,,
BAK,ATCT,812-379-9942,,
BAZ,ATCT,830-626-6846,,
BCT,ATCT,561-392-2452,,
BDL,ATCT,617-238-7001,0730-1600,203-627-3428
BDR,ATCT,203-378-4106,,
BEC,ATCT,316-676-8179,,
BED,ATCT,781-862-1592,,
BET,ATCT,907-543-3662,,
BFI,ATCT,206-658-6406,,
BFM,ATCT,334-438-7205,,
BJC,ATCT,720-633-8610,,
BKL,ATCT,216-241-2515,,
BKT,ATCT,434-292-2047,,
BKV,ATCT,352-796-0393,,
BLI,ATCT,360-734-2745,,
BLV,ATCT,618-256-4164,,
BMG,ATCT,812-825-7421,,
BMI,ATCT,309-663-1268,,
BNA,ATCT,404-305-5180,0700-1530,615-781-5460
BOI,ATCT,208-334-1643,0800-1630,208-334-1642
BOS,ATCT,781-238-7001,0730-1600,617-455-3100
BOW,ATCT,863-533-8751,,
BPT,ATCT,409-720-5100,,
BRO,ATCT,956-546-4936,,
BTL,ATCT,269-962-7878,,
BTR,ATCT,225-354-2100,,
BUR,ATCT,310-725-3300,0700-1730,818-567-4806
BVI,ATCT,724-843-3972,,
BVY,ATCT,978-922-0657,,
BWI,ATCT,718-995-5426,0800-1630,410-962-3555
BZN,ATCT,406-388-9082,,
CCR,ATCT,925-685-5743,,
CDW,ATCT,973-575-6448,,
CEF,ATCT,413-557-2916,,
CGF,ATCT,216-261-0550,,
CGI,ATCT,573-334-3843,,
CHD,ATCT,480-917-8005,,
CHO,ATCT,434-973-4458,,
CIC,ATCT,530-345-8828,,
CLE,ATCT,847-294-8400,0800-1600,216-898-2020
CLL,ATCT,979-846-3998,,
CLT,ATCT,404-305-5180,0800-1630,704-344-6487
CMA,ATCT,805-388-9730,,
CMY,ATCT,608-388-2860,,
CNO,ATCT,909-597-1703,,
CNW,ATCT,254-799-4683,,
COU,ATCT,573-442-1051,,
CPS,ATCT,618-337-5660,,
CRE,ATCT,843-272-3395,,
CRG,ATCT,904-641-3022,,
CRQ,ATCT,760-438-4969,,
CSG,ATCT,706-649-7779,,
CSM,ATCT,580-562-4026,,
CVG,ATCT,708-294-7401,0800-1630,606-767-1006
CWA,ATCT,715-693-1081,,
CWF,ATCT,337-491-9952,,
CXO,ATCT,936-756-8012,,
CYPK,ATCT,604-465-9723,,
CYVR,ATCT,604-207-7022,,
CYXX,ATCT,604-855-1199,,
CYXY,ATCT,867-667-8426,,
CYYJ,ATCT,250-655-2866,,
CZBB,ATCT,604-946-0710,,
DAL,ATCT,214-353-1509,,
DAY,ATCT,847-294-8400,0730-1600,937-454-7300
DBQ,ATCT,563-584-0837,,
DCA,ATCT,718-995-5426,0800-1630,703-413-1535
DEC,ATCT,217-429-1033,,
DEN,ATCT,425-227-1389,0730-1600,303-342-1600
DET,ATCT,313-521-1842,,
DFW,ATCT,817-222-5006,0830-1700,972-615-2531
DHN,ATCT,334-983-1110,,
DMA,ATCT,520-228-4507,0800-1630,520-228-4315
DPA,ATCT,630-587-7819,,
DTN,ATCT,318-424-1418,,
DTO,ATCT,940-566-2900,,
DTW,ATCT,847-294-8400,0800-1600,734-955-5000
DVT,ATCT,623-581-1492,,
DWH,ATCT,281-376-9721,,
DXR,ATCT,203-748-6375,,
EAU,ATCT,715-855-5104,,
ECG,ATCT,252-335-4671,,
ECP,ATCT,904-763-8494,,
EFD,ATCT,281-929-2253,,
EGE,ATCT,970-524-2030,,
EKM,ATCT,574-264-9000,,
ELM,ATCT,607-739-7959,0800-1630,607-739-1971
EMT,ATCT,626-442-4390,,
ENA,ATCT,907-283-7247,,
ENW,ATCT,262-652-2100,,
EWB,ATCT,508-993-3186,,
EWN,ATCT,252-514-6973,,
EWR,ATCT,718-995-5426,0730-1600,973-565-5000
EYW,ATCT,305-294-2549,,
FAI,ATCT,907-271-5936,0730-1600,907-474-0050
FCM,ATCT,952-941-1188,,
FFZ,ATCT,480-981-1367,,
FLG,ATCT,928-774-7435,,
FLL,ATCT,404-305-5180,0700-1530,305-356-7932
FMN,ATCT,505-325-0203,,
FMY,ATCT,239-936-7867,,
FOE,ATCT,785-862-2058,,
FPR,ATCT,772-465-0761,,
FRG,ATCT,631-454-2331,,
FSM,ATCT,479-649-2415,,
FTW,ATCT,817-624-7288,,
FTY,ATCT,404-505-9977,,
FUL,ATCT,714-525-1623,,
FWS,ATCT,817-295-5622,,
FXE,ATCT,954-776-4570,,
FYV,ATCT,479-442-2182,,
