category,filename,description,edition,author
handbooks,faa-h-8083-3b-2016.pdf,Airplane Flying Handbook,2016,FAA-H-8083-3B
handbooks,faa-h-8083-25b-2016.pdf,Pilot's Handbook of Aeronautical Knowledge,2016,FAA-H-8083-25B
handbooks,faa-h-8083-15b-2012.pdf,Instrument Flying Handbook,2012,FAA-H-8083-15B
handbooks,faa-h-8083-16b-2017.pdf,Instrument Procedures Handbook,2017,FAA-H-8083-16B
handbooks,faa-h-8083-6-2009.pdf,Advanced Avionics Handbook,2009,FAA-H-8083-6
handbooks,faa-h-8083-9a-2008.pdf,Aviation Instructor's Handbook,2008,FAA-H-8083-9A
handbooks,faa-h-8083-1b-2016.pdf,Weight and Balance Handbook,2016,FAA-H-8083-1B
handbooks,faa-h-8083-21b-2019.pdf,Helicopter Flying Handbook,2019,FAA-H-8083-21B
handbooks,faa-fs-i-8700-1-2003.pdf,Information for Banner Tow Operations,2003,FAA/FS-I-8799-1
handbooks,fcm-h1-2017.pdf,Federal Meteorological Handbook No. 1,2017,NOAA
handbooks,fcm-h2-1988.pdf,Federal Meteorological Handbook No. 2,1988,NOAA
manuals,cug_191205.pdf,Aeronautical Chart User's Guide,Dec 2019,FAA
manuals,faa-h-8083-19a-2008.pdf,Plane Sense - General Aviation Information,2008,FAA-H-8083-19A
manuals,ac-00-6b.pdf,Aviation Weather,2016,AC-00-6B
manuals,ac-00-45h_chg_1.pdf,Aviation Weather Services,2016,AC-00-45H
manuals,00-80T-80.pdf,Aerodynamics for Naval Aviators,1965,H. H. Hurt, Jr.
periodicals,cb_480.pdf,Callback,Issue 480 (Jan 2020),NASA
periodicals,cb_479.pdf,Callback,Issue 479 (Dec 2019),NASA
periodicals,cb_478.pdf,Callback,Issue 478 (Nov 2019),NASA
periodicals,cb_477.pdf,Callback,Issue 477 (Oct 2019),NASA
periodicals,JanFeb2020.pdf,FAA Safety Briefing,Jan/Feb 2020,FAA
periodicals,NovDec2019.pdf,FAA Safety Briefing,Nov/Dec 2019,FAA
periodicals,SepOct2019.pdf,FAA Safety Briefing,Sep/Oct 2019,FAA
periodicals,JulAug2019.pdf,FAA Safety Briefing,Jul/Aug 2019,FAA
safety,ac_90-48d-chg_1.pdf,Pilots’ Role in Collision Avoidance,2016,FAA
safety,safety_advisor_non-towered_airports.pdf,Operations at Nontowered Airports,2007,FAA
safety,faa-p-8740-02-2008.pdf,Density Altitude,2008,FAA
safety,faa-p-8740-12-2008.pdf,Thunderstorms,2008,FAA
safety,faa-p-8740-30-2008.pdf,How to Obtain a Good Weather Briefing,2008,FAA
safety,faa-p-8740-36-2008.pdf,Proficiency and the Private Pilot,2008,FAA
safety,faa-p-8740-48-2008.pdf,On Landings Part 1,2008,FAA
safety,faa-p-8740-49-2008.pdf,On Landings Part 2,2008,FAA
safety,faa-p-8740-50-2008.pdf,On Landings Part 3,2008,FAA
safety,faa-p-8740-66-2008.pdf,Flying Light Twins Safely,2008,FAA
safety,faa-p-8740-69-2008.pdf,Aeronautical Decision Making,2008,FAA
safety,takeoff_safety.pdf,Pilot Guide to Takeoff Safety,2008,FAA
safety,AP_UpsetRecovery_Book.pdf,Upset Recovery Training Aid,2008,FAA
